BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,DELINQcat,DEROGzero
True,1100.0,25860.0,39025.0,HomeImp,Other,10.5,0.0,0.0,94.36666870117188,1.0,9.0,34.81826,0,True
True,1300.0,70053.0,68400.0,HomeImp,Other,7.0,0.0,2.0,121.83333587646484,0.0,14.0,34.81826,1+,True
True,1500.0,13500.0,16700.0,HomeImp,Other,4.0,0.0,0.0,149.46665954589844,1.0,10.0,34.81826,0,True
True,1500.0,65019.0,89235.5,IsMissing,Other,7.0,0.0,0.0,173.46665954589844,1.0,20.0,34.81826,0,True
False,1700.0,97800.0,112000.0,HomeImp,Office,3.0,0.0,0.0,93.33333587646484,0.0,14.0,34.81826,0,True
True,1700.0,30548.0,40320.0,HomeImp,Other,9.0,0.0,0.0,101.46600341796875,1.0,8.0,37.113613,0,True
True,1800.0,48649.0,57037.0,HomeImp,Other,5.0,3.0,2.0,77.0999984741211,1.0,17.0,34.81826,1+,False
True,1800.0,28502.0,43034.0,HomeImp,Other,11.0,0.0,0.0,88.76602935791016,0.0,8.0,36.884895,0,True
True,2000.0,32700.0,46740.0,HomeImp,Other,3.0,0.0,2.0,216.93333435058594,1.0,12.0,34.81826,1+,True
True,2000.0,65019.0,62250.0,HomeImp,Sales,16.0,0.0,0.0,115.80000305175781,0.0,13.0,34.81826,0,True
True,2000.0,22608.0,89235.5,IsMissing,Other,18.0,0.0,0.0,173.46665954589844,1.0,20.0,34.81826,0,True
True,2000.0,20627.0,29800.0,HomeImp,Office,11.0,0.0,1.0,122.53333282470703,1.0,9.0,34.81826,1,True
True,2000.0,45000.0,55000.0,HomeImp,Other,3.0,0.0,0.0,86.06666564941406,2.0,25.0,34.81826,0,True
False,2000.0,64536.0,87400.0,IsMissing,Mgr,2.5,0.0,0.0,147.13333129882812,0.0,24.0,34.81826,0,True
True,2100.0,71000.0,83850.0,HomeImp,Other,8.0,0.0,1.0,123.0,0.0,16.0,34.81826,1,True
True,2200.0,24280.0,34687.0,HomeImp,Other,7.0,0.0,1.0,300.8666687011719,0.0,8.0,34.81826,1,True
True,2200.0,90957.0,102600.0,HomeImp,Mgr,7.0,2.0,6.0,122.9000015258789,1.0,22.0,34.81826,1+,False
True,2200.0,23030.0,89235.5,IsMissing,Other,19.0,0.0,0.0,173.46665954589844,1.0,20.0,3.7113123,0,True
True,2300.0,28192.0,40150.0,HomeImp,Other,4.5,0.0,0.0,54.599998474121094,1.0,16.0,34.81826,0,True
False,2300.0,102370.0,120953.0,HomeImp,Office,2.0,0.0,0.0,90.9925308227539,0.0,13.0,31.588503,0,True
True,2300.0,37626.0,46200.0,HomeImp,Other,3.0,0.0,1.0,122.26667022705078,1.0,14.0,34.81826,1,True
True,2400.0,50000.0,73395.0,HomeImp,ProfExe,5.0,1.0,0.0,173.46665954589844,1.0,0.0,34.81826,0,False
True,2400.0,28000.0,40800.0,HomeImp,Mgr,12.0,0.0,0.0,67.19999694824219,2.0,22.0,34.81826,0,True
True,2400.0,18000.0,89235.5,HomeImp,Mgr,22.0,0.0,2.0,121.73332977294922,0.0,10.0,34.81826,1+,True
True,2400.0,65019.0,17180.0,HomeImp,Other,7.0,0.0,0.0,14.566666603088379,3.0,4.0,34.81826,0,True
True,2400.0,34863.0,47471.0,HomeImp,Mgr,12.0,0.0,0.0,70.49108123779297,1.0,21.0,38.2636,0,True
False,2400.0,98449.0,117195.0,HomeImp,Office,4.0,0.0,0.0,93.81177520751953,0.0,13.0,29.681828,0,True
True,2500.0,15000.0,20200.0,HomeImp,Other,18.0,0.0,0.0,136.06666564941406,1.0,19.0,34.81826,0,True
True,2500.0,25116.0,36350.0,HomeImp,Other,10.0,1.0,2.0,276.9666748046875,0.0,9.0,34.81826,1+,False
False,2500.0,7229.0,44516.0,HomeImp,Self,7.0,0.0,0.0,208.0,0.0,12.0,34.81826,0,True
False,2500.0,71408.0,78600.0,HomeImp,ProfExe,8.0,0.0,0.0,255.73333740234375,0.0,12.0,34.81826,0,True
True,2800.0,50795.0,63100.0,HomeImp,Self,26.0,2.0,15.0,145.63333129882812,3.0,45.0,34.81826,1+,False
True,2800.0,4000.0,60850.0,HomeImp,Other,16.0,4.0,0.0,112.63333129882812,2.0,9.0,34.81826,0,False
True,2900.0,78600.0,113000.0,DebtCon,ProfExe,6.0,1.0,0.0,165.3333282470703,2.0,26.0,34.81826,0,False
False,2900.0,103949.0,112505.0,HomeImp,Office,1.0,0.0,0.0,96.10233306884766,0.0,13.0,30.051136,0,True
False,2900.0,104373.0,120702.0,HomeImp,Office,2.0,0.0,0.0,101.54029846191406,0.0,13.0,29.91586,0,True
True,2900.0,7750.0,67996.0,HomeImp,Other,16.0,3.0,0.0,122.20466613769531,2.0,8.0,36.21135,0,False
True,2900.0,61962.0,70915.0,DebtCon,Mgr,2.0,0.0,0.0,282.8016662597656,3.0,37.0,49.206394,0,True
False,3000.0,104570.0,121729.0,HomeImp,Office,2.0,0.0,0.0,85.88436889648438,0.0,14.0,32.059784,0,True
True,3000.0,7000.0,20300.0,HomeImp,Other,3.0,0.0,0.0,50.79999923706055,5.0,9.0,34.81826,0,True
True,3000.0,65019.0,8800.0,HomeImp,Other,2.0,0.0,1.0,77.76667022705078,0.0,3.0,34.81826,1,True
True,3000.0,65019.0,33000.0,HomeImp,Other,1.0,0.0,1.0,23.299999237060547,1.0,2.0,34.81826,1,True
True,3000.0,119826.0,193500.0,HomeImp,Other,8.0,0.0,0.0,130.03335571289062,0.0,27.0,34.81826,0,True
True,3000.0,20000.0,29750.0,DebtCon,Other,2.0,0.0,0.0,187.06666564941406,0.0,12.0,34.81826,0,True
True,3000.0,65019.0,14500.0,HomeImp,Other,3.0,0.0,0.0,9.300000190734863,8.0,2.0,34.81826,0,True
True,3000.0,65019.0,14100.0,HomeImp,Other,1.0,0.0,0.0,104.19999694824219,0.0,19.0,34.81826,0,True
True,3000.0,47000.0,82700.0,HomeImp,ProfExe,10.0,0.0,1.0,262.1666564941406,5.0,26.0,34.81826,1,True
True,3000.0,34542.0,45900.0,HomeImp,Mgr,8.5,0.0,2.0,62.36666488647461,0.0,10.0,34.81826,1+,True
False,3000.0,58000.0,71500.0,HomeImp,Mgr,10.0,0.0,2.0,211.93333435058594,0.0,25.0,34.81826,1+,True
False,3000.0,47000.0,56400.0,HomeImp,Office,21.0,0.0,0.0,201.86666870117188,0.0,20.0,34.81826,0,True
True,3100.0,39589.0,36100.0,HomeImp,Other,1.5,0.0,0.0,153.1666717529297,1.0,14.0,34.81826,0,True
False,3100.0,65019.0,70400.0,IsMissing,Other,7.0,0.0,0.0,173.46665954589844,1.0,20.0,34.81826,0,True
False,3200.0,67848.0,74566.0,HomeImp,Mgr,10.0,0.0,1.0,206.42660522460938,0.0,25.0,40.115677,1,True
True,3200.0,48603.0,61000.0,HomeImp,ProfExe,28.0,0.0,4.0,122.03333282470703,1.0,25.0,34.81826,1+,True
True,3200.0,27200.0,40834.0,HomeImp,Other,7.0,0.0,0.0,298.1315612792969,0.0,7.0,35.55354,0,True
True,3200.0,54000.0,64850.0,HomeImp,Other,1.0,0.0,0.0,121.86666870117188,3.0,21.0,34.81826,0,True
False,3200.0,74864.0,87266.0,HomeImp,ProfExe,7.0,0.0,0.0,250.6312713623047,0.0,12.0,42.909996,0,True
True,3200.0,23159.0,89235.5,HomeImp,Mgr,20.0,0.0,2.0,117.80574798583984,0.0,9.0,0.52449924,1+,True
True,3300.0,126541.0,134527.0,HomeImp,Sales,9.0,1.0,0.0,139.0,0.0,36.0,34.81826,0,False
True,3300.0,130518.0,164317.0,DebtCon,Other,9.0,0.0,6.0,192.28915405273438,0.0,33.0,35.73056,1+,True
True,3400.0,37000.0,52000.0,HomeImp,Office,2.0,0.0,1.0,183.29991149902344,0.0,6.0,34.81826,1,True
True,3500.0,23200.0,38666.0,HomeImp,Other,11.0,0.0,0.0,162.36666870117188,0.0,14.0,34.81826,0,True
True,3500.0,19400.0,20494.0,HomeImp,Other,5.0,0.0,0.0,95.93333435058594,0.0,9.0,34.81826,0,True
True,3600.0,61584.0,61800.0,HomeImp,ProfExe,10.0,0.0,0.0,173.46665954589844,1.0,20.0,34.81826,0,True
True,3600.0,41900.0,52490.0,HomeImp,Mgr,3.0,0.0,0.0,72.03333282470703,2.0,4.0,34.81826,0,True
False,3600.0,83700.0,111800.0,HomeImp,ProfExe,6.0,0.0,0.0,192.73333740234375,1.0,28.0,34.81826,0,True
False,3600.0,61327.0,76484.0,HomeImp,Mgr,9.0,0.0,2.0,202.51077270507812,0.0,25.0,41.516388,1+,True
False,3600.0,100693.0,114743.0,HomeImp,Office,6.0,0.0,0.0,88.47045135498047,0.0,14.0,29.393543,0,True
True,3600.0,48507.0,61000.0,DebtCon,Office,13.0,1.0,4.0,97.4000015258789,0.0,17.0,34.81826,1+,False
False,3600.0,52337.0,63989.0,HomeImp,Office,20.0,0.0,0.0,204.27249145507812,0.0,20.0,20.470915,0,True
True,3700.0,17857.0,21144.0,HomeImp,Other,5.0,0.0,0.0,129.71731567382812,1.0,9.0,26.634348,0,True
True,3800.0,19135.0,97692.0,HomeImp,Mgr,1.6,1.0,6.0,252.63333129882812,1.0,25.0,34.81826,1+,False
False,3800.0,51180.0,63459.0,HomeImp,Office,20.0,0.0,0.0,203.7515411376953,0.0,20.0,20.067041,0,True
False,3800.0,65019.0,73189.0,IsMissing,Other,7.0,0.0,0.0,173.46665954589844,1.0,20.0,22.253948,0,True
False,3800.0,11543.0,46045.0,HomeImp,Self,7.0,0.0,0.0,204.6479949951172,0.0,11.0,42.173164,0,True
True,3900.0,29896.0,45960.0,HomeImp,Other,11.0,0.0,0.0,146.1232452392578,0.0,14.0,24.478882,0,True
True,3900.0,14500.0,22092.0,HomeImp,Other,3.5,0.0,1.0,150.3000030517578,5.0,8.0,34.81826,1,True
False,3900.0,52825.0,63000.0,DebtCon,ProfExe,8.0,0.0,4.0,171.6666717529297,1.0,31.0,34.81826,1+,True
False,3900.0,102143.0,118742.0,HomeImp,Office,2.0,0.0,0.0,85.2773666381836,0.0,13.0,29.343922,0,True
True,3900.0,21200.0,39000.0,DebtCon,Mgr,4.0,0.0,1.0,86.56666564941406,2.0,14.0,34.81826,1,True
False,4000.0,105164.0,112774.0,HomeImp,Office,1.0,0.0,0.0,94.7248764038086,0.0,13.0,29.390928,0,True
False,4000.0,54543.0,61777.0,HomeImp,Office,21.0,0.0,0.0,205.58668518066406,0.0,19.0,21.806564,0,True
True,4000.0,65019.0,80609.0,HomeImp,Other,1.5,0.0,2.0,126.53333282470703,3.0,12.0,34.81826,1+,True
True,4000.0,26572.0,31960.0,HomeImp,Office,11.0,0.0,0.0,117.79510498046875,0.0,8.0,41.28649,0,True
True,4000.0,17000.0,52012.0,HomeImp,ProfExe,22.0,3.0,1.0,85.33333587646484,1.0,9.0,34.81826,1,False
True,4000.0,29562.0,37200.0,DebtCon,Other,6.0,0.0,0.0,92.13333129882812,1.0,26.0,34.81826,0,True
True,4000.0,41700.0,76725.0,HomeImp,Other,0.5,0.0,3.0,136.13333129882812,0.0,15.0,34.81826,1+,True
True,4000.0,58000.0,69440.0,HomeImp,Other,3.5,0.0,1.0,168.6666717529297,0.0,18.0,34.81826,1,True
True,4000.0,5700.0,18000.0,DebtCon,Other,7.0,0.0,0.0,12.199999809265137,0.0,17.0,34.81826,0,True
